,KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.537409257,0.605677656,0.422424242,0.092124534,0.096457144,0.166617453,0.613695471,0.679304029,0.499393939,0.114947542,0.112339909,0.167643948,0.615181485,0.662271062,0.531515152,0.096085896,0.125374847,0.118956548,0.532927073,0.728937729,0.264848485,0.129626834,0.200833232,0.212889488
Soft,0.471686647,0.65989011,0.327575758,0.108104797,0.16889253,0.131121461,0.541873127,0.700915751,0.396969697,0.139035521,0.138841477,0.162172718,0.547800533,0.627472527,0.442727273,0.123684396,0.137020415,0.149629542,0.515201465,0.693772894,0.294545455,0.105903054,0.268233001,0.273130319
Full,0.510458708,0.862637363,0.117272727,0.122439104,0.109567545,0.071556007,0.58522311,0.679487179,0.439090909,0.122363378,0.137807792,0.167153938,0.616606727,0.679487179,0.525757576,0.115921298,0.141335745,0.151539705,0.51280969,0.686263736,0.318484848,0.113779012,0.218031839,0.21042214
,,,,,,,,,,,,,,,,,,,,,,,,
,KNN.ROC,RF.ROC,XGBoost.ROC,NNet.ROC,,,,,,,,,,,,,,,,,,,,
MICE,0.537409257,0.613695471,0.615181485,0.532927073,,,,,,,,,,,,,,,,,,,,
Soft,0.471686647,0.541873127,0.547800533,0.515201465,,,,,,,,,,,,,,,,,,,,
Full,0.510458708,0.58522311,0.616606727,0.51280969,,,,,,,,,,,,,,,,,,,,
