,KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.543146853,0.627655678,0.416060606,0.085381981,0.144967099,0.127556409,0.581465201,0.672893773,0.387575758,0.103294385,0.117097246,0.140663318,0.557552448,0.638461538,0.392727273,0.1082546,0.12773294,0.147485817,0.557505828,0.628388278,0.443333333,0.119280559,0.186000525,0.200834442
Soft,0.544806027,0.62014652,0.423939394,0.117761455,0.130301523,0.161258999,0.586610889,0.685714286,0.389393939,0.102046035,0.126290399,0.141402883,0.537717283,0.636996337,0.383636364,0.120682601,0.132419063,0.180991853,0.528992674,0.594505495,0.414848485,0.106150116,0.144223506,0.122770417
Full,0.537893773,0.742124542,0.32969697,0.120826807,0.122503922,0.138302483,0.563149351,0.685714286,0.405757576,0.110045159,0.1164971,0.154249825,0.536461871,0.651831502,0.411212121,0.113428212,0.159490746,0.170454998,0.53965368,0.571245421,0.478484848,0.131668902,0.167432383,0.160568301
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,KNN.ROC,RF.ROC,XGBoost.ROC,NNet.ROC,,,,,,,,,,,,,,,,,,,,
MICE,0.543146853,0.581465201,0.557552448,0.557505828,,,,,,,,,,,,,,,,,,,,
Soft,0.544806027,0.586610889,0.537717283,0.528992674,,,,,,,,,,,,,,,,,,,,
Full,0.537893773,0.563149351,0.536461871,0.53965368,,,,,,,,,,,,,,,,,,,,
