"",KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.543146853146853,0.627655677655678,0.416060606060606,0.0853819808664156,0.144967099186182,0.127556408731857,0.581465201465202,0.672893772893773,0.387575757575758,0.103294385283651,0.117097246154517,0.140663317531692,0.557552447552448,0.638461538461539,0.392727272727273,0.108254600404563,0.127732940154187,0.147485816659442,0.557505827505828,0.628388278388278,0.443333333333333,0.119280558928151,0.18600052456905,0.200834442412745
Soft,0.544806027306027,0.62014652014652,0.423939393939394,0.117761455016784,0.130301523272443,0.161258998849037,0.586610889110889,0.685714285714286,0.389393939393939,0.102046034936371,0.12629039880932,0.141402883066799,0.537717282717283,0.636996336996337,0.383636363636364,0.120682601030694,0.132419063019599,0.180991852652827,0.528992673992674,0.594505494505495,0.414848484848485,0.106150115973765,0.144223506195806,0.122770416968448
Full,0.537893772893773,0.742124542124542,0.32969696969697,0.120826807012078,0.122503921574259,0.138302482651303,0.563149350649351,0.685714285714286,0.405757575757576,0.110045158975214,0.116497100025193,0.154249824811733,0.536461871461872,0.651831501831502,0.411212121212121,0.113428211942015,0.159490745672899,0.170454998257845,0.53965367965368,0.571245421245421,0.478484848484848,0.131668902418705,0.167432382618788,0.160568300602437
