"",KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.562974025974026,0.958095238095238,0.0766666666666667,0.0884635625174857,0.0528402020219683,0.0872519350014056,0.671601731601732,0.748571428571429,0.533939393939394,0.121097969941371,0.121761512714714,0.130215275059569,0.679709956709957,0.714444444444444,0.550606060606061,0.0839709735788773,0.128759719410273,0.142198736523067,0.626656565656566,0.798730158730159,0.348181818181818,0.120218052185903,0.129543448074924,0.128501679660972
Soft,0.532061327561328,0.926825396825397,0.120909090909091,0.142398115215255,0.0825589952564898,0.0892050321453089,0.65087012987013,0.762380952380952,0.50030303030303,0.121731759049942,0.127164041948903,0.13849912696284,0.658203463203463,0.711428571428571,0.532121212121212,0.0862092129418046,0.11898257664892,0.141597234310951,0.586500721500722,0.754603174603175,0.354848484848485,0.119478646529652,0.121035833107301,0.133682808838423
Full,0.537401875901876,0.894761904761905,0.11030303030303,0.0882865023480106,0.0823301095040951,0.115849504219933,0.669935786435786,0.774603174603175,0.527878787878788,0.112818393222643,0.125243266816704,0.133841531741402,0.654854256854257,0.733492063492064,0.528484848484848,0.0833614058588233,0.111434629488341,0.118356112934586,0.598486291486292,0.763015873015873,0.375757575757576,0.130508886188006,0.132259831262441,0.140761543406619
