"",KNN.Rsquared,KNN.RMSE,KNN.MAE,RF.Rsquared,RF.RMSE,RF.MAE,XGBoost.Rsquared,XGBoost.RMSE,XGBoost.MAE,NNet.Rsquared,NNet.RMSE,NNet.MAE
MICE,0.131732730793103,0.0280315962003366,0.00860219127727557,0.304588903578484,0.0265790062331681,0.00786195887591785,0.0762625638678293,0.0295951781501943,0.00968847830162202,0.0918400853049857,0.027630531346732,0.00779436716446506
Soft,0.100378671016048,0.0280245212788713,0.00837050597598618,0.353805627657528,0.026774209135877,0.00808453979278915,0.259219167784916,0.0272585192810665,0.00877024142678984,0.129335816664285,0.0279670596525283,0.00787182154968286
Full,0.147488580558553,0.0275446984594959,0.00857127452666064,0.347994266603747,0.0273810126797728,0.00847220279485023,0.114463473036539,0.0336985608662719,0.0101016048208292,0.138844736287328,0.0283085484820429,0.00857950470900635
