"",KNN.Rsquared,KNN.RMSE,KNN.MAE,RF.Rsquared,RF.RMSE,RF.MAE,XGBoost.Rsquared,XGBoost.RMSE,XGBoost.MAE,NNet.Rsquared,NNet.RMSE,NNet.MAE
MICE,0.30841885198198,0.159216744320665,0.12235584241453,0.903826339790134,0.0627602641485068,0.0452975430176727,0.893559763030432,0.0679720266557503,0.0491091526589944,0.98121686919619,0.0268787955288841,0.0192446560595
Soft,0.200718200652621,0.174300498617992,0.133771766809988,0.886209027004316,0.0665604860098574,0.0479044714481838,0.897337397663058,0.0661730456558795,0.048980331173813,0.908964714829738,0.0575951816894409,0.0417159973273385
Full,0.275167101087558,0.166629448557781,0.125640571750823,0.876235040042734,0.0697303022397069,0.0512251852037927,0.875734214463608,0.0714248024179363,0.0531832145072775,0.912605122011671,0.0550296827934782,0.040044847158658
