"",KNN.ROC,KNN.Sens,KNN.Spec,KNN.ROCSD,KNN.SensSD,KNN.SpecSD,RF.ROC,RF.Sens,RF.Spec,RF.ROCSD,RF.SensSD,RF.SpecSD,XGBoost.ROC,XGBoost.Sens,XGBoost.Spec,XGBoost.ROCSD,XGBoost.SensSD,XGBoost.SpecSD,NNet.ROC,NNet.Sens,NNet.Spec,NNet.ROCSD,NNet.SensSD,NNet.SpecSD
MICE,0.537409257409257,0.605677655677656,0.422424242424242,0.0921245341760492,0.0964571444895549,0.166617452599035,0.613695471195471,0.679304029304029,0.499393939393939,0.114947542316705,0.112339909216061,0.167643947722372,0.615181485181485,0.662271062271062,0.531515151515152,0.0960858958325318,0.125374847252656,0.118956547558705,0.532927072927073,0.728937728937729,0.264848484848485,0.129626834303077,0.200833232046202,0.212889487937486
Soft,0.471686646686647,0.65989010989011,0.327575757575758,0.108104797449204,0.168892530198857,0.131121460736085,0.541873126873127,0.700915750915751,0.396969696969697,0.139035521303001,0.138841477355882,0.162172718114415,0.547800532800533,0.627472527472528,0.442727272727273,0.123684396006641,0.137020414924781,0.149629541585272,0.515201465201465,0.693772893772894,0.294545454545455,0.105903054222927,0.268233000969525,0.273130318692169
Full,0.510458707958708,0.862637362637363,0.117272727272727,0.122439103615102,0.109567544769137,0.0715560073156552,0.58522311022311,0.67948717948718,0.439090909090909,0.122363377582359,0.13780779201366,0.167153937648724,0.616606726606727,0.67948717948718,0.525757575757576,0.115921297563109,0.141335744970657,0.151539705429465,0.51280969030969,0.686263736263736,0.318484848484848,0.113779012445665,0.218031838801441,0.210422139909272
