"",KNN.Rsquared,KNN.RMSE,KNN.MAE,RF.Rsquared,RF.RMSE,RF.MAE,XGBoost.Rsquared,XGBoost.RMSE,XGBoost.MAE,NNet.Rsquared,NNet.RMSE,NNet.MAE
MICE,0.0761073114949148,0.105611250524671,0.0573675553682501,0.191998776300417,0.101258173678192,0.0492880649984956,0.0900463163609325,0.109286870999995,0.0551672806930878,0.10751037621541,0.105950458577176,0.0640026297577248
Soft,0.0696670175519618,0.128231464414887,0.0654277725508497,0.297739924053859,0.115803253177898,0.0600265399068747,0.280798107139751,0.129606730272487,0.0633668835813625,0.142966450019576,0.136259835092448,0.078214608159045
Full,0.0773033166378702,0.119511625074692,0.0627561041154289,0.237655706715759,0.110635673694139,0.0543298017724783,0.169760103978027,0.119712504584128,0.0627263183433188,0.0852804632031697,0.120857416065107,0.072806190173805
