"",KNN.Rsquared,KNN.RMSE,KNN.MAE,RF.Rsquared,RF.RMSE,RF.MAE,XGBoost.Rsquared,XGBoost.RMSE,XGBoost.MAE,NNet.Rsquared,NNet.RMSE,NNet.MAE
MICE,0.450391260951127,0.0939868195167016,0.0576644266266822,0.804407946708785,0.0498572104191671,0.0312482113015976,0.801151014756489,0.0518529643109092,0.0337278862760098,0.807445872340052,0.0514002235158037,0.0328721892723948
Soft,0.360829476642936,0.102266500652692,0.0664404922848639,0.816432681136366,0.0503912434697983,0.0314164199837644,0.823306603578659,0.0506624007277946,0.0329537493166775,0.757362802125872,0.0542673690508273,0.0336295020477697
Full,0.369646600130834,0.0994322147304321,0.0622734688164819,0.817568516273491,0.0505080003892048,0.0314195657373195,0.817077745069448,0.0513878025725482,0.033267094619676,0.777925377581788,0.0526633028539207,0.0338356444931815
